site,mean,min,max,rms,std
AB01,  -1.993,  -4.180,   0.960,   2.093,   1.724
AG01,  -0.627,  -1.710,   0.330,   0.895,   0.667
BA01,   0.103,  -0.450,   0.490,   0.280,   0.272
BC01,   0.315,  -0.570,   0.930,   0.524,   0.506
BA02,  -0.096,  -0.590,   0.230,   0.289,   0.272
BD01,  -1.304,  -2.680,   0.120,   1.326,   1.035
BF01,   0.311,  -1.830,   1.170,   0.794,   0.856
BI02,   0.074,  -1.090,   0.690,   0.567,   0.587
BI01,  -0.102,  -1.430,   0.860,   0.746,   0.771
BM01,  -0.471,  -0.980,   0.350,   0.612,   0.408
BM02,  -0.451,  -1.250,   0.480,   0.672,   0.521
BN01,  -0.452,  -1.150,  -0.070,   0.589,   0.393
BS02,  -1.254,  -3.270,   0.430,   1.483,   1.404
CJ01,  -0.480,  -1.560,   0.420,   0.711,   0.862
DC01,  -0.406,  -1.180,   0.490,   0.629,   0.638
DJ01,  -0.388,  -1.030,   0.330,   0.546,   0.401
DK01,  -1.234,  -1.820,  -0.160,   1.065,   0.702
DMF1,   0.016,  -0.970,   0.730,   0.521,   0.544
ET01,  -1.218,  -3.460,   0.310,   1.669,   1.191
GS01,   0.090,  -0.470,   0.500,   0.272,   0.343
JA01,  -1.680,  -2.620,  -0.840,   1.279,   0.732
JC01,   0.112,  -0.560,   0.360,   0.239,   0.268
JS06,  -0.160,  -0.620,   0.270,   0.315,   0.283
KO01,  -0.467,  -1.430,   0.290,   0.656,   0.480
MF02,  -0.262,  -0.860,   0.410,   0.455,   0.483
MM01,  -0.381,  -1.830,   0.930,   0.924,   0.879
MW01,   0.003,  -0.490,   0.560,   0.321,   0.420
NL01,   0.152,  -0.440,   0.480,   0.276,   0.240
PF01,  -0.269,  -0.630,  -0.120,   0.251,   0.160
PM02,  -0.141,  -2.730,   0.500,   0.822,   1.065
PM03,  -0.453,  -4.380,   1.050,   1.493,   1.894
PW01,  -0.710,  -1.350,   0.040,   0.652,   0.511
RA01,   0.275,  -0.770,   2.520,   0.843,   1.063
RM02,  -0.213,  -0.830,   0.570,   0.462,   0.429
RM04,  -0.753,  -1.280,   0.370,   0.793,   0.551
SJ01,   0.166,  -1.380,   0.960,   0.591,   0.660
TA14,   2.107,   1.000,   2.900,   1.893,   0.619
TA15,   2.559,   1.660,   3.680,   2.622,   0.594
TS01,  -0.134,  -0.850,   2.140,   0.766,   0.788
